timestamp,session_id,ip,action,filename,request_bytes,response_bytes,status_code,success
2026-05-12T23:53:06,b7bc6559-3d73-437d-a7fc-84cdd47c7304,127.0.0.1,delete,docs_terms-and-conditions_431becb0addd494197bcccd06b39f12c.pdf,0,0,200,True
2026-05-12T23:53:06,b7bc6559-3d73-437d-a7fc-84cdd47c7304,127.0.0.1,list_files,,0,326,200,True
2026-05-12T23:53:11,b7bc6559-3d73-437d-a7fc-84cdd47c7304,127.0.0.1,list_files,,0,326,200,True
2026-05-12T23:53:14,b7bc6559-3d73-437d-a7fc-84cdd47c7304,127.0.0.1,delete_folder,users/max,9,6127643,200,True
2026-05-12T23:53:14,b7bc6559-3d73-437d-a7fc-84cdd47c7304,127.0.0.1,list_files,,0,217,200,True
2026-05-12T23:53:27,e706d682-da7e-4903-878c-f883fdbe6f1f,192.168.1.10,list_files,,0,217,200,True
2026-05-12T23:53:33,e706d682-da7e-4903-878c-f883fdbe6f1f,192.168.1.10,create_folder,admin,5,0,200,True
2026-05-12T23:53:33,e706d682-da7e-4903-878c-f883fdbe6f1f,192.168.1.10,list_files,,0,217,200,True
2026-05-12T23:53:52,e706d682-da7e-4903-878c-f883fdbe6f1f,192.168.1.10,list_files,,0,217,200,True
2026-05-12T23:53:59,e706d682-da7e-4903-878c-f883fdbe6f1f,192.168.1.10,upload,users/Unit 12.pdf,6127643,0,200,True
2026-05-12T23:53:59,e706d682-da7e-4903-878c-f883fdbe6f1f,192.168.1.10,list_files,,0,322,200,True
2026-05-12T23:54:01,e706d682-da7e-4903-878c-f883fdbe6f1f,192.168.1.10,download,users/5 Щоденник.docx,0,30319,200,True
2026-05-12T23:54:14,a6d269df-6279-456d-b588-a25bea6f7e68,127.0.0.1,list_files,,0,322,200,True
2026-05-13T00:03:37,a6d269df-6279-456d-b588-a25bea6f7e68,127.0.0.1,list_files,,0,322,200,True
2026-05-13T00:14:04,a6d269df-6279-456d-b588-a25bea6f7e68,127.0.0.1,list_files,,0,322,200,True
2026-05-13T00:14:58,feature-sim-0c08e4d1-03da-4bb7-9247-17bed7001fee,127.0.0.1,feature_level_attack_simulation,synthetic_deviation_features,0,0,200,True
2026-05-13T00:15:49,a6d269df-6279-456d-b588-a25bea6f7e68,127.0.0.1,list_files,,0,322,200,True
2026-05-13T00:20:21,a6d269df-6279-456d-b588-a25bea6f7e68,127.0.0.1,list_files,,0,701,200,True
2026-05-13T00:20:25,a6d269df-6279-456d-b588-a25bea6f7e68,127.0.0.1,delete_folder,admins,6,0,200,True
2026-05-13T00:20:25,a6d269df-6279-456d-b588-a25bea6f7e68,127.0.0.1,list_files,,0,607,200,True
2026-05-13T00:20:28,a6d269df-6279-456d-b588-a25bea6f7e68,127.0.0.1,delete_folder,admin,5,0,200,True
2026-05-13T00:20:28,a6d269df-6279-456d-b588-a25bea6f7e68,127.0.0.1,list_files,,0,514,200,True
2026-05-13T00:20:33,a6d269df-6279-456d-b588-a25bea6f7e68,127.0.0.1,create_folder,admins,6,0,200,True
2026-05-13T00:20:33,a6d269df-6279-456d-b588-a25bea6f7e68,127.0.0.1,list_files,,0,608,200,True
2026-05-13T11:14:44,b939e649-a24c-4852-abf5-f9efa783df5e,192.168.1.242,list_files,,0,608,200,True
2026-05-13T11:14:51,b939e649-a24c-4852-abf5-f9efa783df5e,192.168.1.242,list_files,,0,608,200,True
2026-05-13T11:14:54,b939e649-a24c-4852-abf5-f9efa783df5e,192.168.1.242,download,users/5 Щоденник.docx,0,30319,200,True
2026-05-13T11:14:57,b939e649-a24c-4852-abf5-f9efa783df5e,192.168.1.242,list_files,,0,608,200,True
2026-05-13T11:15:01,b939e649-a24c-4852-abf5-f9efa783df5e,192.168.1.242,list_files,,0,608,200,True
2026-05-13T11:15:14,b939e649-a24c-4852-abf5-f9efa783df5e,192.168.1.242,upload,admins/Topics.docx,35273,0,200,True
2026-05-13T11:15:14,b939e649-a24c-4852-abf5-f9efa783df5e,192.168.1.242,list_files,,0,712,200,True
2026-05-13T11:15:30,b939e649-a24c-4852-abf5-f9efa783df5e,192.168.1.242,list_files,,0,712,200,True
2026-05-13T11:15:36,b939e649-a24c-4852-abf5-f9efa783df5e,192.168.1.242,delete,Quiz_Unit 9.pdf,0,0,200,True
